  Sequence Length    Learning Rate    Number of Epochs    Hidden Size    Training Error    Testing Error
-----------------  ---------------  ------------------  -------------  ----------------  ---------------
                3           0.0001                  25              5            6.5806           1.6368
                3           0.0001                  25             10            2.7381           0.7076
                3           0.0001                  25             20            4.1442           0.9872
                3           0.0001                  50              5            0.6660           0.1568
                3           0.0001                  50             10            3.0811           0.8184
                3           0.0001                  50             20          nan              nan
                3           0.0001                 100              5            0.0268           0.0069
                3           0.0001                 100             10            0.7037           1.0345
                3           0.0001                 100             20           13.2301           1.0211
                3           1e-05                   25              5            1.3509           0.3705
                3           1e-05                   25             10            0.6672           0.2249
                3           1e-05                   25             20            1.9394           0.5385
                3           1e-05                   50              5            0.3657           0.0855
                3           1e-05                   50             10            0.6265           0.1438
                3           1e-05                   50             20            7.2528           1.8605
                3           1e-05                  100              5            0.9604           0.2197
                3           1e-05                  100             10            3.8469           1.0146
                3           1e-05                  100             20            6.3638           1.5858
                3           1e-06                   25              5            0.2522           0.0587
                3           1e-06                   25             10            0.1805           0.0391
                3           1e-06                   25             20            0.9681           0.2005
                3           1e-06                   50              5            0.1331           0.0295
                3           1e-06                   50             10            0.1424           0.0407
                3           1e-06                   50             20            0.4394           0.1201
                3           1e-06                  100              5            1.3265           0.3051
                3           1e-06                  100             10            1.8478           0.4465
                3           1e-06                  100             20            1.3330           0.4438
                4           0.0001                  25              5            0.0243           0.0049
                4           0.0001                  25             10            1.9588           0.4773
                4           0.0001                  25             20           47.6393          10.9513
                4           0.0001                  50              5            3.7745           0.9308
                4           0.0001                  50             10          nan              nan
                4           0.0001                  50             20          nan              nan
                4           0.0001                 100              5            0.0387           0.0131
                4           0.0001                 100             10            8.3272           2.0752
                4           0.0001                 100             20          nan              nan
                4           1e-05                   25              5            0.0639           0.0143
                4           1e-05                   25             10            2.9046           0.6029
                4           1e-05                   25             20           17.1094           4.4442
                4           1e-05                   50              5            2.0845           0.5222
                4           1e-05                   50             10            0.6551           0.1411
                4           1e-05                   50             20            0.5092           0.1178
                4           1e-05                  100              5            4.9701           1.2305
                4           1e-05                  100             10            0.3537           0.1072
                4           1e-05                  100             20           31.1549           8.0427
                4           1e-06                   25              5            0.0605           0.0140
                4           1e-06                   25             10            1.6029           0.3599
                4           1e-06                   25             20            3.3224           0.6769
                4           1e-06                   50              5            0.0913           0.0196
                4           1e-06                   50             10            0.4749           0.1193
                4           1e-06                   50             20            2.5134           0.5770
                4           1e-06                  100              5            0.1024           0.0230
                4           1e-06                  100             10            0.1373           0.0379
                4           1e-06                  100             20            2.8096           0.6069
                5           0.0001                  25              5            0.0506           0.0100
                5           0.0001                  25             10           27.6973           6.9817
                5           0.0001                  25             20            0.9938           0.1756
                5           0.0001                  50              5            0.0717           0.0134
                5           0.0001                  50             10            1.7422           0.4657
                5           0.0001                  50             20          nan              nan
                5           0.0001                 100              5            4.7898           1.2464
                5           0.0001                 100             10          nan              nan
                5           0.0001                 100             20          nan              nan
                5           1e-05                   25              5            0.1509           0.0474
                5           1e-05                   25             10            4.4907           1.1246
                5           1e-05                   25             20            3.9842           1.2255
                5           1e-05                   50              5            0.6738           0.2015
                5           1e-05                   50             10            0.2839           0.0821
                5           1e-05                   50             20            2.6307           0.6652
                5           1e-05                  100              5            3.8290           0.9508
                5           1e-05                  100             10           18.8483           4.8440
                5           1e-05                  100             20            4.9370           1.1938
                5           1e-06                   25              5            1.0943           0.2202
                5           1e-06                   25             10            0.9958           0.2274
                5           1e-06                   25             20            2.1454           0.4822
                5           1e-06                   50              5            0.5520           0.1195
                5           1e-06                   50             10            2.8196           0.7535
                5           1e-06                   50             20            4.1474           1.0834
                5           1e-06                  100              5            0.6106           0.1380
                5           1e-06                  100             10            1.0704           0.2998
                5           1e-06                  100             20           12.8670           2.9833
